study_x,plot,tree,unique_id,tph,age,volume_m,predicted_volume_m,model
RH,1110,29,RH-1110-29,618,14,0.6534248,0.584640631,RF
RH,1110,29,RH-1110-29,618,15,0.722765998,0.675283192,RF
RH,1110,31,RH-1110-31,618,9,0.250924628,0.235952664,RF
RH,1110,31,RH-1110-31,618,10,0.324587412,0.2963803,RF
RH,1110,31,RH-1110-31,618,11,0.419330358,0.389009263,RF
RH,1110,31,RH-1110-31,618,12,0.535465235,0.468042856,RF
RH,1110,31,RH-1110-31,618,13,0.653824225,0.642254098,RF
RH,1110,31,RH-1110-31,618,14,0.750698342,0.678024599,RF
RH,1110,31,RH-1110-31,618,15,0.936709979,0.833645513,RF
RH,1110,33,RH-1110-33,618,9,0.265213146,0.246573596,RF
RH,1110,33,RH-1110-33,618,10,0.328682809,0.296020054,RF
RH,1110,33,RH-1110-33,618,11,0.410683776,0.381792884,RF
RH,1110,33,RH-1110-33,618,12,0.518229917,0.437550682,RF
RH,1110,33,RH-1110-33,618,13,0.610344144,0.599193547,RF
RH,1110,33,RH-1110-33,618,14,0.753046834,0.660176258,RF
RH,1110,33,RH-1110-33,618,15,0.908474315,0.79217958,RF
RH,1110,34,RH-1110-34,618,9,0.19110187,0.192089768,RF
RH,1110,34,RH-1110-34,618,10,0.256777355,0.242208029,RF
RH,1110,34,RH-1110-34,618,11,0.336639435,0.31681425,RF
RH,1110,34,RH-1110-34,618,12,0.393957521,0.36665499,RF
RH,1110,34,RH-1110-34,618,13,0.476112117,0.475282303,RF
RH,1110,34,RH-1110-34,618,14,0.567632051,0.511660709,RF
RH,1110,34,RH-1110-34,618,15,0.678083753,0.633538187,RF
RH,1110,35,RH-1110-35,618,9,0.293589176,0.267585981,RF
RH,1110,35,RH-1110-35,618,10,0.351159544,0.319233733,RF
RH,1110,35,RH-1110-35,618,11,0.414004217,0.387920202,RF
RH,1110,35,RH-1110-35,618,12,0.471850438,0.4357237,RF
RH,1110,35,RH-1110-35,618,13,0.533126789,0.542312141,RF
RH,1110,35,RH-1110-35,618,14,0.586612062,0.570237531,RF
RH,1110,35,RH-1110-35,618,15,0.630854284,0.628292875,RF
RH,1110,36,RH-1110-36,618,9,0.195020634,0.199339431,RF
RH,1110,36,RH-1110-36,618,10,0.227645531,0.226817805,RF
RH,1110,36,RH-1110-36,618,11,0.270585249,0.278392319,RF
RH,1110,36,RH-1110-36,618,12,0.317601123,0.311401467,RF
RH,1110,36,RH-1110-36,618,13,0.359820368,0.384567516,RF
RH,1110,36,RH-1110-36,618,14,0.423396672,0.407260207,RF
RH,1110,36,RH-1110-36,618,15,0.452174881,0.463425932,RF
RH,1110,37,RH-1110-37,618,9,0.10991543,0.104111131,RF
RH,1110,37,RH-1110-37,618,10,0.118964908,0.109602521,RF
RH,1110,37,RH-1110-37,618,11,0.128462491,0.127650829,RF
RH,1110,37,RH-1110-37,618,12,0.138411737,0.132276045,RF
RH,1110,37,RH-1110-37,618,13,0.148815744,0.157106499,RF
RH,1110,37,RH-1110-37,618,14,0.154189062,0.159130793,RF
RH,1110,37,RH-1110-37,618,15,0.159676957,0.166284531,RF
RH,1110,38,RH-1110-38,618,9,0.118964908,0.118286649,RF
RH,1110,38,RH-1110-38,618,10,0.143556717,0.132406743,RF
RH,1110,38,RH-1110-38,618,11,0.176830203,0.175729691,RF
RH,1110,38,RH-1110-38,618,12,0.201314926,0.187224681,RF
RH,1110,38,RH-1110-38,618,13,0.227645531,0.249529503,RF
RH,1110,38,RH-1110-38,618,14,0.278140467,0.260096284,RF
RH,1110,38,RH-1110-38,618,15,0.293589176,0.283695332,RF
RH,1110,39,RH-1110-39,618,9,0.118895584,0.121350487,RF
RH,1110,39,RH-1110-39,618,10,0.15711535,0.143637746,RF
RH,1110,39,RH-1110-39,618,11,0.208084243,0.214447071,RF
RH,1110,39,RH-1110-39,618,12,0.24804315,0.231755491,RF
RH,1110,39,RH-1110-39,618,13,0.30157752,0.312395788,RF
RH,1110,39,RH-1110-39,618,14,0.336311076,0.325066518,RF
RH,1110,39,RH-1110-39,618,15,0.385640374,0.375817379,RF
RH,1110,40,RH-1110-40,618,9,0.162783686,0.167021764,RF
