age_group,feature,pct_increase_in_mse,model
14,CI_LAI,9.242494304,RF
14,CI_HTLC,12.60927877,RF
14,CI_under,14.55050257,RF
14,CI_under2,3.214534604,RF
14,CI_vol1,14.85982134,RF
14,CI_vol2,7.162639474,RF
14,CI_vol3,5.417062156,RF
14,CI_vol4,5.656473247,RF
14,CI_vol5,6.623346317,RF
14,CI_sfa1,7.022632047,RF
14,CI_sfa2,5.702827921,RF
14,CI_sfa3,5.681509177,RF
14,CI_sfa4,5.160819408,RF
14,CI_sfa5,6.611883476,RF
14,SILVA1,36.39295729,RF
14,SILVA2,20.22222421,RF
14,age,1.32E-14,RF
15,Carea,169.7489439,RF
15,mCDst,24.76887662,RF
15,Z,155.2654735,RF
15,CArea_1,14.17484171,RF
15,htlc,16.84667931,RF
15,CLAI,10.15819692,RF
15,vol1,8.151599762,RF
15,vol2,7.593423361,RF
15,vol3,6.864541991,RF
15,vol4,15.26161346,RF
15,vol5,174.9688584,RF
15,sfa1,9.636372637,RF
15,sfa2,29.41524786,RF
15,sfa3,13.00607977,RF
15,sfa4,13.84954226,RF
15,sfa5,98.41964539,RF
15,UndTF,0.783186588,RF
15,UndPrp,4.576224016,RF
15,CI_Carea,90.27098378,RF
15,CI_CArea_1,7.58371852,RF
15,CI_Z,246.8278087,RF
15,CI_mCDst,55.8098726,RF
15,CI_LAI,8.53764959,RF
15,CI_HTLC,12.19311031,RF
15,CI_under,11.52304039,RF
15,CI_under2,2.847531746,RF
15,CI_vol1,14.50958647,RF
15,CI_vol2,7.469965014,RF
15,CI_vol3,5.155374012,RF
15,CI_vol4,5.300874842,RF
15,CI_vol5,6.269494434,RF
15,CI_sfa1,7.673055127,RF
15,CI_sfa2,5.81269223,RF
15,CI_sfa3,6.062961249,RF
15,CI_sfa4,5.315182678,RF
15,CI_sfa5,7.062488658,RF
15,SILVA1,30.05950624,RF
15,SILVA2,17.71228124,RF
15,age,5.08E-15,RF
9,Carea,65.67830128,SVR
9,mCDst,64.96482294,SVR
9,Z,66.59233067,SVR
9,CArea_1,18.44258679,SVR
9,htlc,25.69201563,SVR
9,CLAI,13.81371183,SVR
9,vol1,64.81603404,SVR
9,vol2,149.3903718,SVR
9,vol3,35.19452533,SVR
9,vol4,63.42915722,SVR
9,vol5,147.7854077,SVR
9,sfa1,80.90849938,SVR
9,sfa2,199.317352,SVR
9,sfa3,44.74818031,SVR
9,sfa4,74.92085686,SVR
9,sfa5,156.6544805,SVR
9,UndTF,15.32167544,SVR
9,UndPrp,32.16768833,SVR
9,CI_Carea,69.32093104,SVR
9,CI_CArea_1,6.537809373,SVR
9,CI_Z,122.5469259,SVR
9,CI_mCDst,106.1228247,SVR
9,CI_LAI,2.872365511,SVR
9,CI_HTLC,13.10472862,SVR
9,CI_under,23.97405745,SVR
9,CI_under2,11.29092917,SVR
9,CI_vol1,21.4717342,SVR
9,CI_vol2,26.85220266,SVR
9,CI_vol3,48.77407283,SVR
9,CI_vol4,15.52902468,SVR
9,CI_vol5,24.50928133,SVR
9,CI_sfa1,31.58918826,SVR
9,CI_sfa2,78.46053299,SVR
9,CI_sfa3,80.75805539,SVR
9,CI_sfa4,59.96055467,SVR
9,CI_sfa5,59.79675406,SVR
9,SILVA1,32.76221994,SVR
9,SILVA2,26.54665254,SVR
9,age,0,SVR
10,Carea,75.45652532,SVR
10,mCDst,65.59479087,SVR
10,Z,79.93776742,SVR
10,CArea_1,19.34078778,SVR
10,htlc,28.90751144,SVR
10,CLAI,14.86901928,SVR
10,vol1,67.05332954,SVR
10,vol2,146.6203177,SVR
10,vol3,35.68703138,SVR
10,vol4,59.39339909,SVR
10,vol5,155.2847229,SVR
10,sfa1,84.7175016,SVR
10,sfa2,211.4154408,SVR
10,sfa3,44.67694113,SVR
10,sfa4,55.75748943,SVR
10,sfa5,165.2229927,SVR
10,UndTF,15.38242938,SVR
10,UndPrp,31.92742238,SVR
10,CI_Carea,78.34828109,SVR
10,CI_CArea_1,6.755179844,SVR
10,CI_Z,154.3942593,SVR
10,CI_mCDst,107.2965083,SVR
10,CI_LAI,3.171890626,SVR
10,CI_HTLC,13.77409545,SVR
10,CI_under,25.43621966,SVR
10,CI_under2,10.58125476,SVR
10,CI_vol1,24.08142096,SVR
10,CI_vol2,22.17014034,SVR
10,CI_vol3,51.23889084,SVR
10,CI_vol4,17.35261267,SVR
10,CI_vol5,22.44875497,SVR
10,CI_sfa1,32.0937063,SVR
10,CI_sfa2,76.30197184,SVR
10,CI_sfa3,76.16587314,SVR
10,CI_sfa4,55.58432508,SVR
10,CI_sfa5,55.60009787,SVR
10,SILVA1,33.54199786,SVR
10,SILVA2,24.93401075,SVR
10,age,0,SVR
11,Carea,87.36828048,SVR
11,mCDst,64.35090868,SVR
11,Z,92.51009911,SVR
11,CArea_1,17.68596668,SVR
