treeID,study,volume_m_21,prediction_m,plot.x,reps,tph,model
55,"Reynolds, VA",0.151077984,0.300471289,1531,1,1853,SVR
17,"Reynolds, VA",0.151356758,0.193748352,1430,1,1853,SVR
29,"Reynolds, VA",0.151432663,0.220202885,2230,2,1853,SVR
22,"Reynolds, VA",0.15158406,0.208423433,2520,2,1236,SVR
53,"Reynolds, VA",0.152075468,0.125575606,3321,3,1236,SVR
16,"Reynolds, VA",0.152134995,0.222979121,2430,2,1853,SVR
50,"Reynolds, VA",0.152144898,0.178071746,2230,2,1853,SVR
28,"Reynolds, VA",0.152798077,0.199171957,3431,3,1853,SVR
68,"Reynolds, VA",0.154021311,0.153967816,2230,2,1853,SVR
68,"Reynolds, VA",0.154341398,0.229713154,2120,2,1236,SVR
49,"Reynolds, VA",0.155059472,0.16251666,1421,1,1236,SVR
45,"Reynolds, VA",0.155135213,0.194020761,2430,2,1853,SVR
27,"Reynolds, VA",0.15524075,0.04060541,2530,2,1853,SVR
3,"Reynolds, VA",0.155620278,0.15429265,1620,1,1236,SVR
29,"Reynolds, VA",0.15587696,0.156654486,2531,2,1853,SVR
79,"Reynolds, VA",0.156567838,0.182410096,3230,3,1853,SVR
22,"Reynolds, VA",0.157354176,0.152043274,1120,1,1236,SVR
41,"Reynolds, VA",0.157899884,0.133888858,3111,3,618,SVR
22,"Reynolds, VA",0.157927743,0.124591673,4610,4,618,SVR
30,"Reynolds, VA",0.158033249,0.341128677,4331,4,1853,SVR
63,"Reynolds, VA",0.158303142,0.218472631,3120,3,1236,SVR
22,"Reynolds, VA",0.158745116,0.277480735,4330,4,1853,SVR
52,"Reynolds, VA",0.159183145,0.156123195,2121,2,1236,SVR
39,"Reynolds, VA",0.159319342,0.200426297,3330,3,1853,SVR
1,"Reynolds, VA",0.159501666,0.12868083,1411,1,618,SVR
63,"Reynolds, VA",0.159522831,0.151852968,4320,4,1236,SVR
39,"Reynolds, VA",0.159910118,0.18735713,1321,1,1236,SVR
76,"Reynolds, VA",0.159980096,0.200387064,2430,2,1853,SVR
49,"Reynolds, VA",0.160851531,0.254325539,2631,2,1853,SVR
3,"Reynolds, VA",0.161183303,0.246711668,2120,2,1236,SVR
77,"Reynolds, VA",0.161577143,0.259153523,3330,3,1853,SVR
73,"Reynolds, VA",0.161932493,0.305615198,3320,3,1236,SVR
61,"Reynolds, VA",0.162253791,0.212826928,2430,2,1853,SVR
24,"Reynolds, VA",0.16231638,0.159167447,3430,3,1853,SVR
36,"Reynolds, VA",0.16280133,0.224704559,2230,2,1853,SVR
40,"Reynolds, VA",0.16344708,0.229641425,2431,2,1853,SVR
18,"Reynolds, VA",0.164251136,0.18603728,2311,2,618,SVR
48,"Reynolds, VA",0.165000612,0.163882689,3430,3,1853,SVR
67,"Reynolds, VA",0.165246786,0.177955667,3430,3,1853,SVR
22,"Reynolds, VA",0.165554637,0.121026398,4111,4,618,SVR
17,"Reynolds, VA",0.1657058,0.228870634,1630,1,1853,SVR
27,"Reynolds, VA",0.166353205,0.28718663,4631,4,1853,SVR
4,"Reynolds, VA",0.166476645,0.157373504,2420,2,1236,SVR
24,"Reynolds, VA",0.166591636,0.332069431,2631,2,1853,SVR
2,"Reynolds, VA",0.166860942,0.259490861,2130,2,1853,SVR
51,"Reynolds, VA",0.167453873,0.18193964,2510,2,618,SVR
76,"Reynolds, VA",0.167537725,0.225631247,2230,2,1853,SVR
3,"Reynolds, VA",0.168291623,0.190241739,2410,2,618,SVR
10,"Reynolds, VA",0.168389436,0.169586758,4120,4,1236,SVR
80,"Reynolds, VA",0.16858151,0.296542786,4130,4,1853,SVR
36,"Reynolds, VA",0.168870923,0.288138246,2410,2,618,SVR
62,"Reynolds, VA",0.169135064,0.238244433,3430,3,1853,SVR
58,"Reynolds, VA",0.170197283,0.236181129,1431,1,1853,SVR
24,"Reynolds, VA",0.170236426,0.285380978,4431,4,1853,SVR
37,"Reynolds, VA",0.170299866,0.175950159,4630,4,1853,SVR
57,"Reynolds, VA",0.170457461,0.169659759,4110,4,618,SVR
61,"Reynolds, VA",0.170734722,0.179461452,1520,1,1236,SVR
67,"Reynolds, VA",0.171000692,0.33524546,4311,4,618,SVR
2,"Reynolds, VA",0.171987008,0.191123655,1320,1,1236,SVR
57,"Reynolds, VA",0.17206852,0.189365968,3420,3,1236,SVR
12,"Reynolds, VA",0.172595028,0.153132977,2421,2,1236,SVR
47,"Reynolds, VA",0.172901098,0.269215388,1431,1,1853,SVR
69,"Reynolds, VA",0.173478929,0.143294416,3221,3,1236,SVR
47,"Reynolds, VA",0.174534549,0.133966941,2331,2,1853,SVR
37,"Reynolds, VA",0.175633134,0.204719014,4331,4,1853,SVR
42,"Reynolds, VA",0.175661973,0.281003783,3431,3,1853,SVR
2,"Reynolds, VA",0.175982584,0.139272831,4120,4,1236,SVR
56,"Reynolds, VA",0.176148805,0.20238232,4620,4,1236,SVR
22,"Reynolds, VA",0.176181721,0.253591079,4421,4,1236,SVR
79,"Reynolds, VA",0.176443406,0.213225759,3431,3,1853,SVR
27,"Reynolds, VA",0.177833562,0.149013464,4510,4,618,SVR
28,"Reynolds, VA",0.177867493,0.235812014,4230,4,1853,SVR
54,"Reynolds, VA",0.17809631,0.185875542,2120,2,1236,SVR
52,"Reynolds, VA",0.17868611,0.254617238,2230,2,1853,SVR
52,"Reynolds, VA",0.178771657,0.267406893,2420,2,1236,SVR
43,"Reynolds, VA",0.178979427,0.260562378,1630,1,1853,SVR
71,"Reynolds, VA",0.179406958,0.277726341,3221,3,1236,SVR
38,"Reynolds, VA",0.179520065,0.209135822,1520,1,1236,SVR
23,"Reynolds, VA",0.179937614,0.281881683,2410,2,618,SVR
69,"Reynolds, VA",0.18027694,0.195835844,4230,4,1853,SVR
55,"Reynolds, VA",0.180760773,0.153510523,4310,4,618,SVR
4,"Reynolds, VA",0.181112057,0.203573227,2421,2,1236,SVR
66,"Reynolds, VA",0.181613431,0.164483356,4120,4,1236,SVR
70,"Reynolds, VA",0.183116476,0.279625899,4411,4,618,SVR
10,"Reynolds, VA",0.183454522,0.117995784,2310,2,618,SVR
26,"Reynolds, VA",0.183490346,0.141763023,3510,3,618,SVR
26,"Reynolds, VA",0.183590737,0.335903343,1410,1,618,SVR
31,"Reynolds, VA",0.18388673,0.158378449,2130,2,1853,SVR
9,"Reynolds, VA",0.183905453,0.165887534,1231,1,1853,SVR
81,"Reynolds, VA",0.184409663,0.24964983,2420,2,1236,SVR
40,"Reynolds, VA",0.184641301,0.216885725,2421,2,1236,SVR
26,"Reynolds, VA",0.184801309,0.129364137,1320,1,1236,SVR
61,"Reynolds, VA",0.184808868,0.23442248,2310,2,618,SVR
38,"Reynolds, VA",0.185726717,0.159076242,4330,4,1853,SVR
8,"Reynolds, VA",0.185760334,0.253603915,1520,1,1236,SVR
24,"Reynolds, VA",0.186186761,0.290887344,1431,1,1853,SVR
65,"Reynolds, VA",0.186189766,0.21520239,2611,2,618,SVR
59,"Reynolds, VA",0.186206013,0.163788844,3431,3,1853,SVR
71,"Reynolds, VA",0.186298507,0.20231278,3521,3,1236,SVR
30,"Reynolds, VA",0.186564701,0.241129192,2131,2,1853,SVR
46,"Reynolds, VA",0.186747524,0.16245043,1621,1,1236,SVR
66,"Reynolds, VA",0.187359837,0.120088575,2230,2,1853,SVR
42,"Reynolds, VA",0.187581622,0.177965777,3120,3,1236,SVR
52,"Reynolds, VA",0.187754429,0.247380186,1311,1,618,SVR
22,"Reynolds, VA",0.187757634,0.177546234,4130,4,1853,SVR
40,"Reynolds, VA",0.1879174,0.295301047,4330,4,1853,SVR
34,"Reynolds, VA",0.188136641,0.209735272,2321,2,1236,SVR
10,"Reynolds, VA",0.188393373,0.186524095,2230,2,1853,SVR
22,"Reynolds, VA",0.188402112,0.211160838,3220,3,1236,SVR
15,"Reynolds, VA",0.188870855,0.217698219,1320,1,1236,SVR
28,"Reynolds, VA",0.188932859,0.268445497,4430,4,1853,SVR
48,"Reynolds, VA",0.189445335,0.284747142,2410,2,618,SVR
45,"Reynolds, VA",0.189690617,0.255560099,1530,1,1853,SVR
62,"Reynolds, VA",0.189869859,0.151639112,4610,4,618,SVR
27,"Reynolds, VA",0.189925569,0.166435267,3120,3,1236,SVR
51,"Reynolds, VA",0.19032394,0.2152127,3320,3,1236,SVR
24,"Reynolds, VA",0.190374783,0.266978311,3311,3,618,SVR
21,"Reynolds, VA",0.191350825,0.200806193,2221,2,1236,SVR
4,"Reynolds, VA",0.191755847,0.278568255,3120,3,1236,SVR
7,"Reynolds, VA",0.191895138,0.257011618,4330,4,1853,SVR
29,"Reynolds, VA",0.19209468,0.1768384,4420,4,1236,SVR
38,"Reynolds, VA",0.192447653,0.204853548,1130,1,1853,SVR
14,"Reynolds, VA",0.192790653,0.184076672,2221,2,1236,SVR
35,"Reynolds, VA",0.193641916,0.206375586,3430,3,1853,SVR
29,"Reynolds, VA",0.193770419,0.247940839,4221,4,1236,SVR
52,"Reynolds, VA",0.193926625,0.240114988,4210,4,618,SVR
76,"Reynolds, VA",0.194222051,0.170449356,2621,2,1236,SVR
19,"Reynolds, VA",0.194511821,0.190925385,2430,2,1853,SVR
61,"Reynolds, VA",0.194753917,0.319548616,3421,3,1236,SVR
49,"Reynolds, VA",0.194795828,0.20788585,4320,4,1236,SVR
23,"Reynolds, VA",0.195331604,0.199535793,3130,3,1853,SVR
18,"Reynolds, VA",0.195363473,0.186699075,1430,1,1853,SVR
9,"Reynolds, VA",0.19558959,0.213541336,2220,2,1236,SVR
10,"Reynolds, VA",0.196249886,0.225542447,1610,1,618,SVR
67,"Reynolds, VA",0.196467911,0.211401015,4310,4,618,SVR
9,"Reynolds, VA",0.196551545,0.144521817,3621,3,1236,SVR
